source,confidence,target,weight
MYC,A,TERT,1.0
FOS,A,NTS,1.0
FOS,A,NTF3,1.0
FOS,A,NFKB1,-1.0
FOS,A,NEFL,1.0
FOS,A,LRIG2,1.0
FOS,A,HSPH1,1.0
FOS,A,FOXA1,1.0
FOS,A,FAS,1.0
FOS,A,DDIT3,1.0
FOS,A,BCL2L1,1.0
FOS,A,BATF3,1.0
FOS,A,ACTA1,1.0
FLI1,A,ID2,1.0
TP53,A,RABGGTA,1.0
ETV4,A,TNF,1.0
ETV4,A,TIMP2,1.0
ETV4,A,BDKRB1,1.0
ETV3,A,NFKB1,-1.0
ETS2,A,VWF,1.0
ETS2,A,PDE7A,1.0
ETS2,A,MSR1,1.0
FOS,A,PDHA1,1.0
FOS,A,PLAU,1.0
FOS,A,SMAD4,1.0
SPI1,A,FOS,1.0
FOXP3,A,CCR4,1.0
FOXP1,A,RAG1,1.0
FOXO4,A,TNFSF10,1.0
FOXO1,A,RAG1,1.0
FOXM1,A,CDC25B,1.0
FOXL2,A,SIRT1,1.0
FOXA2,A,CFTR,-1.0
FOXA1,A,RET,1.0
FOXA1,A,NF1,1.0
FOXA1,A,MYC,1.0
ETS2,A,ERG,1.0
FOXA1,A,KRT7,1.0
FOXA1,A,CFTR,-1.0
FOXA1,A,ABCA1,-1.0
FOSL2,A,NOS2,1.0
FOSL2,A,FOSL1,1.0
FOSL2,A,CCR4,1.0
FOSL2,A,BRCA1,1.0
FOSL2,A,BCL6,1.0
FOSL1,A,ITGB3,-1.0
FOS,A,SRR,1.0
FOS,A,SPRR3,1.0
FOXA1,A,ESR1,1.0
GATA2,A,DPYSL2,1.0
ETS2,A,EGR1,1.0
ETS2,A,CDK1,1.0
ESR2,A,TFF1,1.0
ESR2,A,PTPRC,1.0
ESR2,A,MKNK2,1.0
ESR2,A,JUN,1.0
ESR2,A,FOS,1.0
ESR2,A,CTSD,1.0
ESR2,A,CD68,1.0
ESR1,A,YWHAQ,1.0
ESR1,A,UGT2B15,1.0
ESR1,A,MICB,1.0
ESR1,A,JUNB,1.0
ESR1,A,CXCL12,1.0
ESR1,A,CTNNB1,-1.0
ESR1,A,CHAT,1.0
ESR1,A,CEBPB,1.0
ESR1,A,BLM,1.0
ERG,A,TMPRSS2,1.0
ERG,A,FGF2,-1.0
EPAS1,A,CA9,1.0
YY1,A,EP300,1.0
ELK1,A,PDGFB,1.0
ESRRA,A,NR2F6,-1.0
ETS1,A,EMSY,1.0
ETS1,A,CD8A,1.0
ETS1,A,COL1A1,1.0
ETS2,A,CD163,1.0
ETS2,A,ANGPT2,1.0
ETS1,A,WAS,1.0
ETS1,A,TNFSF14,1.0
ETS1,A,TGFBR2,1.0
ETS1,A,TBXAS1,-1.0
ETS1,A,TAF12,1.0
ETS1,A,SPRY2,1.0
ETS1,A,SLC26A3,1.0
ETS1,A,NDRG1,-1.0
ETS2,A,CSF3R,1.0
ETS1,A,MDM2,-1.0
ETS1,A,ITGB3,1.0
ETS1,A,IL3,1.0
ETS1,A,IL2RB,1.0
ETS1,A,HPGD,1.0
ETS1,A,GP6,1.0
ETS1,A,FGFBP1,1.0
ETS1,A,F13A1,1.0
ETS1,A,ERG,1.0
ETS1,A,CSNK2B,1.0
ETS1,A,CSF3R,1.0
ETS1,A,LCK,1.0
GATA3,A,CDH1,1.0
GATA3,A,CDX2,1.0
GATA3,A,EPOR,1.0
JUN,A,RUNX2,1.0
JUN,A,RARB,1.0
JUN,A,POLD2,1.0
JUN,A,PDHA1,1.0
JUN,A,NOX5,1.0
JUN,A,NFKB2,1.0
JUN,A,MGP,1.0
JUN,A,LBP,-1.0
JUN,A,HEY1,1.0
JUN,A,ETS2,1.0
JUN,A,CTSL,1.0
JUN,A,CREM,1.0
JUN,A,CD82,1.0
JUN,A,BATF3,1.0
JUN,A,ACTA1,1.0
IRF9,A,PML,1.0
IRF9,A,IL27,-1.0
IRF7,A,IFNA2,1.0
